questions,output
"My 4-year-old has been waking up crying every night for the past two weeks, mostly around 2 or 3 AM. She sometimes complains of stomach pain and has been a bit more irritable during the day, but no vomiting or fever. We haven't changed her diet or routine. I remember you mentioned these episodes could be related to functional abdominal pain or reflux, but I’m starting to worry it might be something more serious. She has had a history of mild eczema but nothing else notable. Would you recommend any follow-up or specific tests at this point? Thank you for your time.","{
  ""department"": ""Pediatrics"",
  ""accepted_department"": [
    ""Pediatrics"",
    ""Gastroenterology"",
    ""Mental Health""
  ],
  ""symptoms"": [
    ""crying at night"",
    ""stomach pain"",
    ""irritability""
  ],
  ""condition"": ""Eczema"",
  ""sentiment"": ""Worried"",
  ""urgency_level"": ""Medium""
}"
"hey, my 4-year-old daughter was prescribed amoxicillin last week and she's been super sleepy and cranky ever since. normal side effects?","{
  ""department"": ""Pediatrics"",
  ""accepted_department"": [
    ""Pediatrics"",
    ""Pharmacy"",
    ""Primary Care""
  ],
  ""symptoms"": [
    ""sleepy"",
    ""cranky""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
"So my wife, she's been having these odd intermittent palpitations that come and go randomly, sometimes radiate to her left scapula, and today I noticed she also mentioned some paresthesia in the ulnar distribution of her left hand. She’s 65 and no history of heart problems, but she’s been under a lot of stress lately. We saw her EKG last month which was normal, but these new symptoms caught us off guard. Do you think it's worth getting some further testing or should she just wait it out? Just worried since it’s so sudden.","{
  ""department"": ""Cardiology"",
  ""accepted_department"": [
    ""Cardiology"",
    ""Neurology"",
    ""Internal Medicine""
  ],
  ""symptoms"": [
    ""palpitations"",
    ""paresthesia""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Worried"",
  ""urgency_level"": ""Medium""
}"
"My dad started taking lisinopril 20 mg yesterday for his hypertension, but he's been experiencing a persistent dry cough today. Is this a common side effect, and should we be concerned?","{
  ""department"": ""Cardiology"",
  ""accepted_department"": [
    ""Cardiology"",
    ""Pulmonology"",
    ""Internal Medicine""
  ],
  ""symptoms"": [
    ""dry cough""
  ],
  ""condition"": ""Hypertension"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
"My 4-year-old daughter was prescribed amoxicillin last week, but she keeps complaining about a stomach ache and diarrhea. Is that normal side effects? Should I stop giving it to her?","{
  ""department"": ""Pediatrics"",
  ""accepted_department"": [
    ""Pediatrics"",
    ""Gastroenterology"",
    ""Pharmacy""
  ],
  ""symptoms"": [
    ""stomach ache"",
    ""diarrhea""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
"My stomach's been hurtin on and off for a couple weeks, is that normal?","{
  ""department"": ""Gastroenterology"",
  ""accepted_department"": [
    ""Gastroenterology"",
    ""Internal Medicine"",
    ""Primary Care""
  ],
  ""symptoms"": [
    ""stomach pain""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Worried"",
  ""urgency_level"": ""Medium""
}"
my mom keeps saying her stomach hurts but she says she feels fine idk if that's normal?,"{
  ""department"": ""Gastroenterology"",
  ""accepted_department"": [
    ""Gastroenterology"",
    ""Primary Care"",
    ""Internal Medicine""
  ],
  ""symptoms"": [
    ""stomach pain""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
"I've been taking the amlodipine for my blood pressure for a few months, but lately I feel really dizzy sometimes, especially when I stand up quickly. Is that normal or should I stop taking it?","{
  ""department"": ""Cardiology"",
  ""accepted_department"": [
    ""Cardiology"",
    ""Internal Medicine"",
    ""Primary Care""
  ],
  ""symptoms"": [
    ""dizziness""
  ],
  ""condition"": ""Hypertension"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
"hey, my partner just started taking losartan last week and now he's been having terrible headaches and feeling dizzy. is that normal? should he stop it?","{
  ""department"": ""Cardiology"",
  ""accepted_department"": [
    ""Cardiology"",
    ""Neurology"",
    ""Primary Care""
  ],
  ""symptoms"": [
    ""headaches"",
    ""dizziness""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
"My good kidney been hurting again, like a dull pain most of the day. I been taking the meds you gave me but still feel it. I don't know what to do no more, it just keep coming back.","{
  ""department"": ""Urology"",
  ""accepted_department"": [
    ""Urology"",
    ""Nephrology"",
    ""Primary Care""
  ],
  ""symptoms"": [
    ""dull pain""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Frustrated"",
  ""urgency_level"": ""Medium""
}"
so my 4 year old keeps asking for water but she almost dry when she does it is that normal?,"{
  ""department"": ""Pediatrics"",
  ""accepted_department"": [
    ""Pediatrics"",
    ""Primary Care"",
    ""Endocrinology""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
my 7-yr-old has had this weird tingling in her left hand i noticed it more when she was writing or drawing for a while today. it kinda radiates down to her pinky and ring finger but nothing else. no pain or weakness tho. she's been a bit more tired than usual but no fever or rashes. is this something 2 worry about or could it b normal after sitting too long? thx,"{
  ""department"": ""Pediatrics"",
  ""accepted_department"": [
    ""Pediatrics"",
    ""Neurology"",
    ""Occupational Therapy""
  ],
  ""symptoms"": [
    ""tingling in left hand"",
    ""fatigue""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
"My wife, age 52, has been experiencing intermittent palpitations that radiate to her left scapula, mainly after exertion but sometimes at rest. She's also noticed some paresthesia in the ulnar distribution over the past two weeks. She's had no prior cardiac history, but her recent EKG showed occasional premature beats, and her electrolytes are within normal limits. This is the third time she's reported this to different providers, but nobody seems to take it seriously. She's getting frustrated and worried as the episodes seem to be increasing in frequency. Would you recommend any further testing or monitoring before we consider more invasive options? Thank you for your time.","{
  ""department"": ""Cardiology"",
  ""accepted_department"": [
    ""Cardiology"",
    ""Neurology"",
    ""Internal Medicine""
  ],
  ""symptoms"": [
    ""palpitations"",
    ""paresthesia""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Frustrated and worried"",
  ""urgency_level"": ""Medium""
}"
"Hey, so my dad (he's 81) has been really confused lately, like forgets stuff and seems kinda lost sometimes. He keeps saying he's fine and won’t go to the doctor, but I swear it’s worse than usual. Could this be serious? Is it something I should worry about right now? I’m probably overthinking but I’m really worried he might be having a stroke or something. Any advice?","{
  ""department"": ""Neurology"",
  ""accepted_department"": [
    ""Neurology"",
    ""Geriatrics"",
    ""Mental Health""
  ],
  ""symptoms"": [
    ""confusion"",
    ""forgetfulness"",
    ""disorientation""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Worried"",
  ""urgency_level"": ""Medium""
}"
"so my wife, age 45, has been having these weird intermittent palpitations that started a few wks ago. they’re often racing and radiate to her left scapula, sometimes come w/ a bit of mild dizziness. no chest pain tho. she’s got a hx of anxiety but these feel different. she’s also experiencing some paresthesia in the ulnar distribution during episodes. is this something serious? should she be worried about an arrhythmia or a neuro issue? she finally agreed to me message u bc she’s getting more episodes n it’s kinda freaking us out. thx.","{
  ""department"": ""Cardiology"",
  ""accepted_department"": [
    ""Cardiology"",
    ""Neurology"",
    ""Mental Health""
  ],
  ""symptoms"": [
    ""palpitations"",
    ""racing heart"",
    ""dizziness"",
    ""paresthesia""
  ],
  ""condition"": ""Anxiety"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
"My daughter, she is 4 years old and last night she woke up crying and she kept holding her private part like she was hurt. I looked and I don't see nothing but she keep saying it hurts real bad. It came out of nowhere I never seen her like this before. What should I do?","{
  ""department"": ""Pediatrics"",
  ""accepted_department"": [
    ""Pediatrics"",
    ""Urology"",
    ""Emergency Medicine""
  ],
  ""symptoms"": [
    ""crying"",
    ""pain in private part""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Worried"",
  ""urgency_level"": ""High""
}"
my wife has been feeling super tired lately and her legs hurt sometimes when she walks rn. she says her heart beats kinda fast too but she’s not sure if its serious. she been to the er before for similar stuff but i dunno if she should go again or if u can tell me what it might be. thx,"{
  ""department"": ""Cardiology"",
  ""accepted_department"": [
    ""Cardiology"",
    ""Primary Care"",
    ""Neurology""
  ],
  ""symptoms"": [
    ""tiredness"",
    ""leg pain"",
    ""fast heartbeat""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
"my dad (74) has been having these intermittent palpitations the past 3 days, mainly in the evenings. he says they feel like skipped beats or fluttering and sometimes radiate to the left scapula. no chest pain or dizziness tho. he’s on lisinopril 10 mg daily and had a stress test last year w/ normal results. he keeps saying he's fine but i can tell he's uncomfortable. no recent changes in meds or activity. should we get his ekg checked again or just monitor?","{
  ""department"": ""Cardiology"",
  ""accepted_department"": [
    ""Cardiology"",
    ""Internal Medicine"",
    ""Geriatrics""
  ],
  ""symptoms"": [
    ""palpitations"",
    ""uncomfortable""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
"My dad, who is 81, has had some intermittent palpitations lately that radiate to his left scapula; should I be worried?","{
  ""department"": ""Cardiology"",
  ""accepted_department"": [
    ""Cardiology"",
    ""Internal Medicine"",
    ""Geriatrics""
  ],
  ""symptoms"": [
    ""palpitations"",
    ""radiating pain to the left scapula""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
my dad keeps saying he feels tired but he looks fine just sitting there but he keeps asleep in chairs like all day idk if hes sick or somethin heuchs think its bc of his sugar or sumthing?,"{
  ""department"": ""Endocrinology"",
  ""accepted_department"": [
    ""Endocrinology"",
    ""Internal Medicine"",
    ""Primary Care""
  ],
  ""symptoms"": [
    ""tiredness"",
    ""sleeping excessively""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
"hey doc, my wife's been feeling real tired and she says her jonts hurt when she get up in the morining, her back too. she's 45 and she says it's been like this a few weeks now but she don't want to go see nobody. i tryed to get her to see someone but she says it's not that bad. anyway, do ya think she should see you or what? maybe it's nothing but i worry more and more.","{
  ""department"": ""Rheumatology"",
  ""accepted_department"": [
    ""Rheumatology"",
    ""Primary Care"",
    ""Internal Medicine""
  ],
  ""symptoms"": [
    ""tiredness"",
    ""joint pain"",
    ""back pain""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Worried"",
  ""urgency_level"": ""Medium""
}"
"My 4-year-old has been taking amoxicillin for a sinus infection, and I noticed she's been pretty itchy all over today. Is that normal? Should I stop the medicine?","{
  ""department"": ""Pediatrics"",
  ""accepted_department"": [
    ""Pediatrics"",
    ""Allergy & Immunology"",
    ""Infectious Disease""
  ],
  ""symptoms"": [
    ""itchy""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
"hey my child was just started on amoxicillin for his ear infection but now he's all sleepy and acting all weird, like confused. is that normal? should I stop it? please help!!","{
  ""department"": ""Pediatrics"",
  ""accepted_department"": [
    ""Pediatrics"",
    ""Pharmacy"",
    ""ENT""
  ],
  ""symptoms"": [
    ""sleepiness"",
    ""confusion""
  ],
  ""condition"": ""Ear Infection"",
  ""sentiment"": ""Worried"",
  ""urgency_level"": ""High""
}"
"Hey, I’ve been dealing with this constant headache for like 3 weeks now and it’s driving me nuts. Tried ibuprofen but it doesn’t help much. I’ve also been feeling kinda tired and fuzzy. Do I need to come in or could it be something I’m missing? Thanks.","{
  ""department"": ""Neurology"",
  ""accepted_department"": [
    ""Neurology"",
    ""Primary Care"",
    ""Pain Management""
  ],
  ""symptoms"": [
    ""headache"",
    ""tiredness"",
    ""fuzziness""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Frustrated"",
  ""urgency_level"": ""Medium""
}"
"so my 7 yr old has been waking up really sweaty at night lately, not sure if its normal or somethin to worry about? she’s also been kinda irritable when she wakes up, but no fever or anything else. any idea what might cause that? thx","{
  ""department"": ""Pediatrics"",
  ""accepted_department"": [
    ""Pediatrics"",
    ""Sleep Medicine"",
    ""Mental Health""
  ],
  ""symptoms"": [
    ""night sweats"",
    ""irritability""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
"Hey, so I was giving my kid his medicine, the one called amoxicillin, and I think maybe he’s having some weird side effect? He’s been throwing up a lot today and I don’t know if that’s normal or if I should stop giving it to him.","{
  ""department"": ""Pediatrics"",
  ""accepted_department"": [
    ""Pediatrics"",
    ""Pharmacology"",
    ""Primary Care""
  ],
  ""symptoms"": [
    ""vomiting""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
"My dad is taking his blood pressure pills, but he keeps feeling dizzy and weak. Should we stop or switch meds? He’s 81 and already has balance issues. Thanks.","{
  ""department"": ""Cardiology"",
  ""accepted_department"": [
    ""Cardiology"",
    ""Geriatrics"",
    ""Neurology""
  ],
  ""symptoms"": [
    ""dizziness"",
    ""weakness"",
    ""balance issues""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
my kid who just turned 4 has been taking amoxicillin for a week now and today I noticed some weird rash on her arms idk if shld stop giving it? thx,"{
  ""department"": ""Pediatrics"",
  ""accepted_department"": [
    ""Pediatrics"",
    ""Dermatology"",
    ""Pharmacy""
  ],
  ""symptoms"": [
    ""rash""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Worried"",
  ""urgency_level"": ""Medium""
}"
"Hey, so I’ve been noticing that my left hand keeps falling asleep randomly, kinda like when your arm goes numb but it happens more often. It’s not super painful, but it’s weird and I’m kinda worried. Should I be worried about it being something serious? Could it be related to my blood pressure meds? Thanks!","{
  ""department"": ""Neurology"",
  ""accepted_department"": [
    ""Neurology"",
    ""Cardiology"",
    ""Primary Care""
  ],
  ""symptoms"": [
    ""left hand falling asleep"",
    ""numbness""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Worried"",
  ""urgency_level"": ""Medium""
}"
my 9 yr old was started on amoxicillin 3 days ago and today he’s been complaining of a really bad headache and feels dizzy w/ some nausea. is this normal or should i be worried?,"{
  ""department"": ""Pediatrics"",
  ""accepted_department"": [
    ""Pediatrics"",
    ""Infectious Disease"",
    ""Neurology""
  ],
  ""symptoms"": [
    ""headache"",
    ""dizziness"",
    ""nausea""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Worried"",
  ""urgency_level"": ""Medium""
}"
"So, I've been noticing these intermittent palpitations lately, usually when I lie down or during my evening walk. They last a few seconds and sometimes radiate to my left scapula, which worries me a bit. No chest pain or shortness of breath, just the sensation of my heartbeat racing. I’ve had similar episodes before, but they never lasted this long or felt as persistent. My EKG from last year was normal, and I don’t have any known arrhythmias. I’m not on any new medications, and my electrolytes are within normal limits. Not sure if I should come in or if there’s anything I can do now—I feel kind of helpless, honestly.","{
  ""department"": ""Cardiology"",
  ""accepted_department"": [
    ""Cardiology"",
    ""Internal Medicine"",
    ""Emergency Medicine""
  ],
  ""symptoms"": [
    ""palpitations"",
    ""sensation of heartbeat racing"",
    ""radiating pain to left scapula""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Helpless"",
  ""urgency_level"": ""Medium""
}"
"Hi, I just wanted to ask about my husband's recent blood pressure readings. They seem pretty high, even though he hasn't felt any different. Should we be worried or do we need to do anything? He’s not on medication for it, and he’s feeling fine otherwise. I’m probably overthinking it, but I just wanna make sure. Thanks for your advice.","{
  ""department"": ""Cardiology"",
  ""accepted_department"": [
    ""Cardiology"",
    ""Internal Medicine"",
    ""Primary Care""
  ],
  ""symptoms"": [],
  ""condition"": ""Hypertension"",
  ""sentiment"": ""Anxious"",
  ""urgency_level"": ""Medium""
}"
"hey, I was giving my kid her amoxicillin and I think I accidentally gave her double dose today. is that okay? she’s only 4 and seems fine but I worry I messed up.","{
  ""department"": ""Pediatrics"",
  ""accepted_department"": [
    ""Pediatrics"",
    ""Pharmacy"",
    ""Toxicology""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Worried"",
  ""urgency_level"": ""Medium""
}"
"so lately i’ve been getting these annoying tingling paresthesias in my ulnar fingers especially when i type or hold my phone for a while.	if i do some stretching or shake it out it gets better but then comes back after a bit. no weakness or pain but really uncomfortable. had a prior ulnar nerve entrapment 2 yrs ago that was surgically decompressed. this feels similar but less intense. wondering if it’s related to that or something else w/ nerve compression or maybe my ergonomics. i haven't changed my routine much rn. thx for any thoughts.","{
  ""department"": ""Neurology"",
  ""accepted_department"": [
    ""Neurology"",
    ""Orthopedics"",
    ""Physical Therapy""
  ],
  ""symptoms"": [
    ""tingling"",
    ""paresthesias"",
    ""discomfort""
  ],
  ""condition"": ""Ulnar nerve entrapment"",
  ""sentiment"": ""Curious"",
  ""urgency_level"": ""Medium""
}"
My wife has been taking Tylenol for her headache and I think she took a double dose by mistake today. Is that okay or should I call someone? She doesn’t feel too good now.,"{
  ""department"": ""Toxicology"",
  ""accepted_department"": [
    ""Toxicology"",
    ""Emergency Medicine"",
    ""Internal Medicine""
  ],
  ""symptoms"": [
    ""headache"",
    ""not feeling good""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
"Hey, my dad (81) has been having a weird cough the last couple of weeks, but he keeps saying he's fine. He’s on blood pressure meds and stuff for cholesterol. I know he refuses to see anyone unless it's really bad, but do you think I should push him to come in? It’s just odd because he’s never really had coughs like this before. Thanks!","{
  ""department"": ""Pulmonology"",
  ""accepted_department"": [
    ""Pulmonology"",
    ""Cardiology"",
    ""Primary Care""
  ],
  ""symptoms"": [
    ""cough""
  ],
  ""condition"": ""Hypertension, Hyperlipidemia"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
"so rn I've been having these weird intermittent palpitations that come & go, sometimes radiate to my left scapula, feel like a fluttering or pounding. no chest pain or dizziness, but it's kinda annoying. I did a Holter monitor recently showed occasional skipped beats but doc said no big deal. still, I’m worried bc I keep feeling them and wondering if I should be worried about arrhythmia or if it could be something more serious like early heart failure? could stress or caffeine cause this? I’m also wondering if I should get any further testing or if I need to see someone urgently. pls advise if I should do anything different or monitor for other symptoms. thx!","{
  ""department"": ""Cardiology"",
  ""accepted_department"": [
    ""Cardiology"",
    ""Internal Medicine"",
    ""Primary Care""
  ],
  ""symptoms"": [
    ""palpitations"",
    ""fluttering"",
    ""pounding""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Worried"",
  ""urgency_level"": ""Medium""
}"
"my 7-year-old keeps complaining of stomach ache after lunch but no other symptoms, is that normal?","{
  ""department"": ""Pediatrics"",
  ""accepted_department"": [
    ""Pediatrics"",
    ""Gastroenterology"",
    ""Primary Care""
  ],
  ""symptoms"": [
    ""stomach ache""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
hey doc my wife been having somethin strange down there she says somethin feels off and she keeps sayin it hurts but I dunno what it is she finally agreed to let me message u but I only see her once and I dont know much about this stuff is it serious or should she go to er or what should I do I keep thinkin maybe she got somethin serious or maybe cancer or somethin but I dont know I just worry alot so please help me what do I do?,"{
  ""department"": ""OB/GYN"",
  ""accepted_department"": [
    ""OB/GYN"",
    ""Urology"",
    ""Oncology""
  ],
  ""symptoms"": [
    ""pain"",
    ""something feels off""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Worried"",
  ""urgency_level"": ""Medium""
}"
"So my wife’s been having these kinda mild intermittent palpitations that come and go throughout the day, and she says sometimes it radiates to her left scapula. She’s 45, otherwise healthy, no chest pain or dizziness, but she’s also noticed a little paresthesia in her ulnar fingers when the palpitations happen. She saw her primary last week, and they did an EKG but said it looked normal. I’m just confused—should we be worried? Could this still be benign, or do you think she needs a Holter or something more detailed? I’d appreciate any guidance.","{
  ""department"": ""Cardiology"",
  ""accepted_department"": [
    ""Cardiology"",
    ""Primary Care"",
    ""Neurology""
  ],
  ""symptoms"": [
    ""palpitations"",
    ""radiating pain"",
    ""paresthesia""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Confused"",
  ""urgency_level"": ""Medium""
}"
my kid 4 years old keeps waking up crying and mant times says somethings hurting but i dunno what. his stomach looks bloated and he vomited twice today. he eats normal and no fever but just crying so much. pls help idk what to do he seems so uncomfortable.,"{
  ""department"": ""Pediatrics"",
  ""accepted_department"": [
    ""Pediatrics"",
    ""Gastroenterology"",
    ""Emergency Medicine""
  ],
  ""symptoms"": [
    ""crying"",
    ""stomach bloating"",
    ""vomiting""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Anxious"",
  ""urgency_level"": ""High""
}"
hey doc iv been takin gabapentin 300mg for my nerve pain for like 3 wks now and i noticed im really forgetful lately is that normal or should i lower the dose?,"{
  ""department"": ""Neurology"",
  ""accepted_department"": [
    ""Neurology"",
    ""Pain Management"",
    ""Mental Health""
  ],
  ""symptoms"": [
    ""forgetfulness""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
my husband been having ache down there for a few days and some burning when he pees but he says he okay. I was at my daughter's soccer game and just noticed it now. should he see a doctor?,"{
  ""department"": ""Urology"",
  ""accepted_department"": [
    ""Urology"",
    ""Primary Care""
  ],
  ""symptoms"": [
    ""ache"",
    ""burning during urination""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
my husband was taking that lisinopril pill and now his face all swollen and his throat feels weird. is that normal? he just started it last week. pls tell me what to do b4 he gets worse.,"{
  ""department"": ""Emergency Medicine"",
  ""accepted_department"": [
    ""Emergency Medicine"",
    ""Cardiology"",
    ""Allergy & Immunology""
  ],
  ""symptoms"": [
    ""swollen face"",
    ""weird feeling in throat""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""High""
}"
"my hubby (mid 40s) has been having these weird intermittent palpitations that feel like skipped beats, mostly when he's resting or after coffee. they sometimes radiate to his left scapula and last for a few seconds. he’s also noticed some slight paresthesia in his ulnar distribution lately but no weakness. he had a Holter last month which was normal. he’s otherwise healthy, no meds. just worried bc he’s been anxious abt it. do u think this warrants a closer look or change in his management? thx","{
  ""department"": ""Cardiology"",
  ""accepted_department"": [
    ""Cardiology"",
    ""Primary Care"",
    ""Mental Health""
  ],
  ""symptoms"": [
    ""palpitations"",
    ""paresthesia""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Anxious"",
  ""urgency_level"": ""Medium""
}"
"My wife, age 45, started experiencing intermittent palpitations that seem to occur predominantly when she’s lying down or after caffeine intake. They last several seconds and occasionally radiate to her left scapula. She also reports some mild paresthesia in the ulnar distribution during these episodes, which is new. She had the Holter monitor done last month, was told it was normal, but these symptoms are concern me since they came out of nowhere. She’s otherwise healthy, no known thyroid issues, and isn’t on any new medications. Could there be a cardiac arrhythmia or neurological issue explaining this? Thank you for your guidance.","{
  ""department"": ""Cardiology"",
  ""accepted_department"": [
    ""Cardiology"",
    ""Neurology"",
    ""Primary Care""
  ],
  ""symptoms"": [
    ""palpitations"",
    ""paresthesia""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
"my stomach been upset for a few days and I feel like I now have diarhea, is that normal?","{
  ""department"": ""Gastroenterology"",
  ""accepted_department"": [
    ""Gastroenterology"",
    ""Internal Medicine"",
    ""Primary Care""
  ],
  ""symptoms"": [
    ""upset stomach"",
    ""diarrhea""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
"hey i’ve been having this weird pain in my stomach, like a cramp but it won’t go away, what do you think it is?","{
  ""department"": ""Gastroenterology"",
  ""accepted_department"": [
    ""Gastroenterology"",
    ""Primary Care"",
    ""Internal Medicine""
  ],
  ""symptoms"": [
    ""stomach pain"",
    ""cramps""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Inquirying"",
  ""urgency_level"": ""Medium""
}"
"my 10 y/o son just started albuterol inhaler 2 days ago n he’s been having like weird chest pain, not super bad but enough to make me worried. is this normal or should I stop? thx","{
  ""department"": ""Pediatrics"",
  ""accepted_department"": [
    ""Pediatrics"",
    ""Pulmonology"",
    ""Primary Care""
  ],
  ""symptoms"": [
    ""chest pain""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Worried"",
  ""urgency_level"": ""Medium""
}"
"Hey, I saw you last week about the persistent ringing in my ears, and I thought it was getting a bit better, but now it’s just worse again — like a constant high-pitched whine. No vertigo or pain, just the noise. I’ve been under quite a lot of stress lately and I realized I haven’t taken any new meds. Do you think this could be related to my blood pressure meds or maybe something else? Should I try to get in to see someone sooner? It’s really bothering me during work and sleep.","{
  ""department"": ""ENT"",
  ""accepted_department"": [
    ""ENT"",
    ""Neurology"",
    ""Mental Health""
  ],
  ""symptoms"": [
    ""ringing in ears"",
    ""stress""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Frustrated"",
  ""urgency_level"": ""Medium""
}"
"my wife been having this weird pain down there and it keeps coming and going, she says it feels like something's off but she not sure what it is. she not hurt or bleeding but she keeps saying it hurts a little when she goes pee. I was at her soccer game yesterday and she looked ok then but today she keeps saying this. what do you think?","{
  ""department"": ""Urology"",
  ""accepted_department"": [
    ""Urology"",
    ""OB/GYN"",
    ""Primary Care""
  ],
  ""symptoms"": [
    ""pain"",
    ""discomfort when urinating""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
"hey doc, my wife just started taking ibuprofen for her back and now she saying her stomach is upset and she feels like throwing up. is that normal or should she stop it? she's been using it for a few days now.","{
  ""department"": ""Gastroenterology"",
  ""accepted_department"": [
    ""Gastroenterology"",
    ""Primary Care"",
    ""Rheumatology""
  ],
  ""symptoms"": [
    ""upset stomach"",
    ""nausea""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
"my kid has been throwing up alot today, is that normal for a little 4 year old?","{
  ""department"": ""Pediatrics"",
  ""accepted_department"": [
    ""Pediatrics"",
    ""Gastroenterology"",
    ""Emergency Medicine""
  ],
  ""symptoms"": [
    ""vomiting""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
"Lately I’ve been noticing intermittent palpitations that radiate to my left scapula, especially after meals or when I’m under stress. They last a few seconds but are quite unsettling. I don’t have chest pain or shortness of breath, and resting HR is usually in the 70s. I’ve had occasional paresthesia in my ulnar distribution, but nothing consistent. My last Holter monitor showed occasional ectopic beats, but no sustained arrhythmias. I’m feeling pretty exhausted and just tired of dealing with these episodes. Is there anything else I should do or consider? Thanks for your time.","{
  ""department"": ""Cardiology"",
  ""accepted_department"": [
    ""Cardiology"",
    ""Neurology"",
    ""Internal Medicine""
  ],
  ""symptoms"": [
    ""palpitations"",
    ""paresthesia"",
    ""exhaustion""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Frustrated"",
  ""urgency_level"": ""Medium""
}"
